country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Kazakhstan,KAZ,4/28/2021,1559836,1293379,266457,425854,95239,8.31,6.89,1.42,5072,Sputnik V,Government of Kazakhstan,https://www.coronavirus2020.kz/
Kenya,KEN,4/28/2021,853081,853081,,,14659,1.59,1.59,,273,"Oxford/AstraZeneca, Sputnik V",Ministry of Health,https://www.aa.com.tr/en/latest-on-coronavirus-outbreak/kenya-confirms-23-new-covid-19-deaths-over-800-cases/2223734
Kosovo,OWID_KOS,4/23/2021,22096,22096,,,1240,1.14,1.14,,642,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/Ministria.Shendetesise.RKS/posts/1973327486158162
Kuwait,KWT,4/25/2021,1000000,,,,20000,23.42,,,4683,Pfizer/BioNTech,Ministry of Health,https://news.kuwaittimes.net/website/one-million-vaccine-doses-given-in-kuwait/
Kyrgyzstan,KGZ,4/28/2021,27858,27000,858,,1610,0.43,0.41,0.01,247,"Sinopharm/Beijing, Sputnik V",Ministry of Health,https://eurasianet.org/dashboard-vaccinating-eurasia-april
Laos,LAO,4/26/2021,184387,126072,58315,709,6766,2.53,1.73,0.8,930,"Sinopharm/Beijing, Sputnik V",Government of Laos,https://www.facebook.com/CIEH.MoH.Lao/posts/4188940891130573
Latvia,LVA,5/2/2021,316955,263964,53147,1383,7746,16.8,13.99,2.82,4107,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
Lebanon,LBN,5/2/2021,465909,294945,170964,4151,7192,6.83,4.32,2.5,1054,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine
Lesotho,LSO,4/17/2021,16000,16000,,,410,0.75,0.75,,191,Oxford/AstraZeneca,Government of Lesotho,https://news.un.org/en/story/2021/04/1089792
Libya,LBY,4/17/2021,750,750,,,,0.01,0.01,,,"Oxford/AstraZeneca, Sinovac, Sputnik V",Government of National Unity,https://reliefweb.int/report/iran-islamic-republic/covid-19-situation-updates-week-15-11-17-april-2021
Liechtenstein,LIE,4/28/2021,12219,8044,4175,273,252,32.04,21.09,10.95,6608,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL
Lithuania,LTU,5/2/2021,995557,691403,304154,556,16479,36.57,25.4,11.17,6053,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Luxembourg,LUX,4/29/2021,191419,140495,50924,4939,2609,30.58,22.44,8.14,4168,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Luxembourg,https://data.public.lu/fr/datasets/r/1d190303-4307-4a5b-92ec-cb31852de6fa
Macao,MAC,5/2/2021,107714,70655,37197,1517,2004,16.59,10.88,5.73,3086,"Pfizer/BioNTech, Sinopharm/Beijing",Government of Macao,https://www.gov.mo/zh-hant/news/375701/
Malawi,MWI,4/30/2021,296127,296127,,5783,3757,1.55,1.55,,196,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1388166647672881153
Malaysia,MYS,5/1/2021,1453382,898094,555288,5316,23281,4.49,2.77,1.72,719,"Pfizer/BioNTech, Sinovac",Government of Malaysia,https://twitter.com/JKJAVMY/status/1388778325640769537
Maldives,MDV,5/1/2021,399550,296961,102589,,4486,73.92,54.94,18.98,8299,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1388549670012555265
Mali,MLI,4/25/2021,49903,49903,,,1821,0.25,0.25,,90,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/msdsmali1/posts/2963098517252980?__cft__[0]=AZUvGx7hQwWiO1MLPYRMMzdU7dw5pnzmACTNpF1x5bXxOTankakP9VEi50sdOsNOJDJIk9YcEzkgAnhwE72Peie0olqS3CwTrLjs5Lu3va9PH4X8ONLarXrtex3zOa7sU5o0S8T4z3R1MGc4UZGzQ2HV3u2izwmMV3alrH2Dws1eyQ&__tn__=%2CO%2CP-R
Malta,MLT,5/1/2021,339727,231511,108216,3879,4024,76.94,52.43,24.51,9114,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",COVID-19 Malta Public Health Response Team,https://github.com/COVID19-Malta/COVID19-Cases
Mauritania,MRT,4/18/2021,7038,7038,,,411,0.15,0.15,,88,Sinopharm/Beijing,Ministry of Health,https://www.sante.gov.mr/wp-content/uploads/2021/04/Mauritania-COVID-19-Situation-Report-2021-04-18FR.pdf
Mauritius,MUS,3/24/2021,117323,117323,,,3242,9.23,9.23,,2549,Oxford/AstraZeneca,National Communication Committee on COVID-19,https://www.mymauritius.travel/articles/117323-vaccinated-mauritius-track-achieve-herd-immunity
Mexico,MEX,5/2/2021,18326726,12572997,7650150,246721,273813,14.21,9.75,5.93,2124,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,https://www.gob.mx/cms/uploads/attachment/file/634724/CP_Salud_coronavirus_COVID-19__02may21.pdf
